#       point_x         point_y         point_z             U_x             U_y             U_z
      111.99104       -41.99921             1.5               0            3.75               0
      115.99258      -41.999468             1.5               0            3.75               0
      119.99403      -41.999648             1.5               0            3.75               0
      123.99533       -41.99977             1.5               0            3.75               0
      127.99643      -41.999852             1.5               0            3.75               0
      131.99735      -41.999907             1.5               0            3.75               0
      135.99807      -41.999942             1.5               0            3.75               0
      139.99863      -41.999964             1.5               0            3.75               0
      143.99904      -41.999978             1.5               0            3.75               0
      147.99935      -41.999987             1.5               0            3.75               0
      151.99956      -41.999992             1.5               0            3.75               0
      155.99971      -41.999996             1.5               0            3.75               0
      159.99981      -41.999997             1.5               0            3.75               0
      163.99988      -41.999999             1.5               0            3.75               0
      167.99993      -41.999999             1.5               0            3.75               0
      171.99996             -42             1.5               0            3.75               0
      175.99997             -42             1.5               0            3.75               0
      179.99998             -42             1.5               0            3.75               0
      183.99999             -42             1.5               0            3.75               0
            188             -42             1.5               0            3.75               0
            192             -42             1.5               0            3.75               0
            196             -42             1.5               0            3.75               0
            200             -42             1.5               0           6.875               0
           -196             -38             1.5               0            3.75               0
           -200             -38             1.5               0           6.875               0
           -192             -38             1.5               0            3.75               0
     -187.99999             -38             1.5               0            3.75               0
     -183.99999             -38             1.5               0            3.75               0
     -179.99998             -38             1.5               0            3.75               0
     -175.99997             -38             1.5               0            3.75               0
     -171.99994      -37.999999             1.5               0            3.75               0
     -167.99991      -37.999999             1.5               0            3.75               0
     -163.99985      -37.999998             1.5               0            3.75               0
     -159.99976      -37.999997             1.5               0            3.75               0
     -155.99963      -37.999994             1.5               0            3.75               0
     -151.99944       -37.99999             1.5               0            3.75               0
     -147.99915      -37.999982             1.5               0            3.75               0
     -143.99876       -37.99997             1.5               0            3.75               0
      -139.9982      -37.999951             1.5               0            3.75               0
     -135.99746       -37.99992             1.5               0            3.75               0
     -131.99649      -37.999871             1.5               0            3.75               0
     -127.99526      -37.999797             1.5               0            3.75               0
     -123.99376      -37.999682             1.5               0            3.75               0
     -119.99199      -37.999511             1.5               0            3.75               0
     -115.98999      -37.999261             1.5               0            3.75               0
     -111.98785      -37.998897             1.5               0            3.75               0
     -107.98569       -37.99838             1.5               0            3.75               0
     -103.98369      -37.997658             1.5               0            3.75               0
     -99.982033      -37.996672             1.5               0            3.75               0
     -95.980931      -37.995355             1.5               0            3.75               0
     -91.980546      -37.993646             1.5               0       3.7500001               0
     -87.980971      -37.991508             1.5               0       3.7500001               0
     -83.982196      -37.988943             1.5               0       3.7500002               0
     -79.984106      -37.986034             1.5               0       3.7500003               0
     -75.986503      -37.982975             1.5               0       3.7500004               0
      -71.98916      -37.980057             1.5               0       3.7500004               0
     -67.991858       -37.97766             1.5               0       3.7500004               0
     -63.994433      -37.976162             1.5               0       3.7500004               0
     -59.996793      -37.975819             1.5               0       3.7500003               0
     -55.998902      -37.976695             1.5               0       3.7500002               0
     -52.000752      -37.978642             1.5               0            3.75               0
      -48.00234      -37.981345             1.5               0       3.7499998               0
     -44.003649      -37.984405             1.5               0       3.7499995               0
     -40.004657      -37.987459             1.5               0       3.7499993               0
     -36.005335      -37.990258             1.5               0       3.7499993               0
     -32.005672       -37.99265             1.5               0       3.7499992               0
     -28.005674       -37.99459             1.5               0       3.7499992               0
     -24.005375      -37.996097             1.5               0       3.7499992               0
     -20.004826      -37.997225             1.5               0       3.7499993               0
     -16.004082      -37.998042             1.5               0       3.7499993               0
     -12.003194      -37.998609             1.5               0       3.7499994               0
     -8.0022034      -37.998979             1.5               0       3.7499995               0
     -4.0011339      -37.999188             1.5               0       3.7499996               0
  1.7680097e-06      -37.999256             1.5               0       3.7499996               0
      4.0011374      -37.999188             1.5               0       3.7499996               0
      8.0022069      -37.998979             1.5               0       3.7499995               0
      12.003198      -37.998609             1.5               0       3.7499994               0
      16.004085      -37.998042             1.5               0       3.7499993               0
       20.00483      -37.997225             1.5               0       3.7499993               0
       24.00538      -37.996097             1.5               0       3.7499992               0
      28.005679      -37.994589             1.5               0       3.7499992               0
      32.005678      -37.992648             1.5               0       3.7499992               0
      36.005343      -37.990254             1.5               0       3.7499993               0
      40.004667      -37.987453             1.5               0       3.7499993               0
      44.003663      -37.984397             1.5               0       3.7499995               0
      48.002358      -37.981336             1.5               0       3.7499998               0
      52.000775      -37.978631             1.5               0            3.75               0
      55.998932      -37.976681             1.5               0       3.7500002               0
      59.996832      -37.975802             1.5               0       3.7500003               0
       63.99448       -37.97614             1.5               0       3.7500004               0
      67.991913      -37.977635             1.5               0       3.7500004               0
      71.989221      -37.980029             1.5               0       3.7500004               0
      75.986571      -37.982944             1.5               0       3.7500003               0
      79.984175      -37.986001             1.5               0       3.7500003               0
      83.982265       -37.98891             1.5               0       3.7500002               0
      87.981036      -37.991476             1.5               0       3.7500001               0
      91.980607      -37.993617             1.5               0       3.7500001               0
      95.980985      -37.995328             1.5               0            3.75               0
      99.982079      -37.996648             1.5               0            3.75               0
      103.98373      -37.997638             1.5               0            3.75               0
      107.98573      -37.998363             1.5               0            3.75               0
      111.98788      -37.998883             1.5               0            3.75               0
      115.99001      -37.999249             1.5               0            3.75               0
      119.99201      -37.999503             1.5               0            3.75               0
      123.99377      -37.999675             1.5               0            3.75               0
      127.99527      -37.999792             1.5               0            3.75               0
      131.99649      -37.999868             1.5               0            3.75               0
      135.99747      -37.999918             1.5               0            3.75               0
      139.99821      -37.999949             1.5               0            3.75               0
      143.99876      -37.999969             1.5               0            3.75               0
      147.99916      -37.999981             1.5               0            3.75               0
      151.99944      -37.999989             1.5               0            3.75               0
      155.99963      -37.999994             1.5               0            3.75               0
      159.99976      -37.999996             1.5               0            3.75               0
      163.99985      -37.999998             1.5               0            3.75               0
      167.99991      -37.999999             1.5               0            3.75               0
      171.99994      -37.999999             1.5               0            3.75               0
      175.99997             -38             1.5               0            3.75               0
      179.99998             -38             1.5               0            3.75               0
      183.99999             -38             1.5               0            3.75               0
      187.99999             -38             1.5               0            3.75               0
            192             -38             1.5               0            3.75               0
            196             -38             1.5               0            3.75               0
            200             -38             1.5               0           6.875               0
           -196             -34             1.5               0            3.75               0
           -200             -34             1.5               0           6.875               0
           -192             -34             1.5               0            3.75               0
     -187.99999             -34             1.5               0            3.75               0
     -183.99999             -34             1.5               0            3.75               0
     -179.99998             -34             1.5               0            3.75               0
     -175.99996             -34             1.5               0            3.75               0
     -171.99993      -33.999999             1.5               0            3.75               0
     -167.99988      -33.999999             1.5               0            3.75               0
     -163.99981      -33.999998             1.5               0            3.75               0
     -159.99969      -33.999996             1.5               0            3.75               0
     -155.99952      -33.999993             1.5               0            3.75               0
     -151.99926      -33.999987             1.5               0            3.75               0
     -147.99888      -33.999978             1.5               0            3.75               0
     -143.99835      -33.999963             1.5               0            3.75               0
      -139.9976       -33.99994             1.5               0            3.75               0
      -135.9966      -33.999902             1.5               0            3.75               0
     -131.99528      -33.999842             1.5               0            3.75               0
      -127.9936       -33.99975             1.5               0            3.75               0
     -123.99153      -33.999611             1.5               0            3.75               0
     -119.98908      -33.999402             1.5               0       3.7500001               0
     -115.98629      -33.999095             1.5               0       3.7500001               0
     -111.98328      -33.998648             1.5               0            3.75               0
     -107.98023      -33.998007             1.5               0            3.75               0
      -103.9774      -33.997105             1.5               0            3.75               0
     -99.975063      -33.995855             1.5               0            3.75               0
     -95.973536      -33.994158             1.5               0       3.7499999               0
      -91.97307      -33.991911             1.5               0            3.75               0
     -87.973802      -33.989025             1.5               0            3.75               0
     -83.975706      -33.985468             1.5               0       3.7500001               0
     -79.978581      -33.981313             1.5               0       3.7500003               0
     -75.982093      -33.976814             1.5               0       3.7500005               0
     -71.985872      -33.972413             1.5               0       3.7500006               0
     -67.989591       -33.96873             1.5               0       3.7500007               0
     -63.993032      -33.966402             1.5               0       3.7500007               0
     -59.996106      -33.965864             1.5               0       3.7500005               0
     -55.998806       -33.96722             1.5               0       3.7500003               0
     -52.001163      -33.970223             1.5               0            3.75               0
     -48.003204      -33.974346             1.5               0       3.7499996               0
     -44.004914      -33.978925             1.5               0       3.7499993               0
     -40.006257      -33.983381             1.5               0       3.7499989               0
     -36.007178      -33.987346             1.5               0       3.7499987               0
     -32.007641      -33.990636             1.5               0       3.7499985               0
     -28.007646      -33.993226             1.5               0       3.7499986               0
     -24.007238      -33.995186             1.5               0       3.7499987               0
     -20.006488      -33.996621             1.5               0       3.7499989               0
      -16.00548      -33.997638             1.5               0       3.7499991               0
     -12.004284      -33.998335             1.5               0       3.7499992               0
     -8.0029531      -33.998784             1.5               0       3.7499993               0
     -4.0015202      -33.999036             1.5               0       3.7499994               0
  2.8167252e-06      -33.999118             1.5               0       3.7499994               0
      4.0015258      -33.999037             1.5               0       3.7499994               0
      8.0029586      -33.998785             1.5               0       3.7499993               0
      12.004289      -33.998336             1.5               0       3.7499992               0
      16.005485      -33.997639             1.5               0       3.7499991               0
      20.006494      -33.996621             1.5               0       3.7499989               0
      24.007244      -33.995186             1.5               0       3.7499987               0
      28.007652      -33.993224             1.5               0       3.7499986               0
      32.007648      -33.990633             1.5               0       3.7499985               0
      36.007187      -33.987342             1.5               0       3.7499987               0
      40.006268      -33.983375             1.5               0       3.7499989               0
      44.004929      -33.978915             1.5               0       3.7499993               0
      48.003224      -33.974334             1.5               0       3.7499996               0
       52.00119      -33.970209             1.5               0            3.75               0
      55.998842      -33.967202             1.5               0       3.7500003               0
