#       point_x         point_y         point_z             U_x             U_y             U_z
     -56.005421      -41.991951             1.5               0       3.7499996               0
     -52.006691      -41.991505             1.5               0       3.7499998               0
     -48.007835       -41.99146             1.5               0            3.75               0
     -44.008764      -41.991801             1.5               0       3.7500001               0
     -40.009399      -41.992454             1.5               0       3.7500001               0
     -36.009678      -41.993312             1.5               0       3.7500002               0
     -32.009571      -41.994266             1.5               0       3.7500002               0
     -28.009093      -41.995224             1.5               0       3.7500002               0
     -24.008292      -41.996117             1.5               0       3.7500002               0
     -20.007234      -41.996903             1.5               0       3.7500001               0
     -16.005986      -41.997556             1.5               0       3.7500001               0
      -12.00461      -41.998067             1.5               0       3.7500001               0
     -8.0031429      -41.998434             1.5               0       3.7500001               0
     -4.0016059      -41.998655             1.5               0       3.7500001               0
  -8.759997e-09      -41.998731             1.5               0       3.7500001               0
      4.0016059      -41.998655             1.5               0       3.7500001               0
      8.0031429      -41.998434             1.5               0       3.7500001               0
       12.00461      -41.998067             1.5               0       3.7500001               0
      16.005986      -41.997556             1.5               0       3.7500001               0
      20.007234      -41.996903             1.5               0       3.7500001               0
      24.008292      -41.996117             1.5               0       3.7500002               0
      28.009094      -41.995223             1.5               0       3.7500002               0
      32.009572      -41.994265             1.5               0       3.7500002               0
      36.009677      -41.993311             1.5               0       3.7500002               0
      40.009399      -41.992453             1.5               0       3.7500001               0
      44.008765        -41.9918             1.5               0       3.7500001               0
      48.007835       -41.99146             1.5               0            3.75               0
      52.006691      -41.991505             1.5               0       3.7499998               0
      56.005421      -41.991951             1.5               0       3.7499996               0
      60.004106      -41.992737             1.5               0       3.7499994               0
      64.002819      -41.993743             1.5               0       3.7499993               0
      68.001612      -41.994839             1.5               0       3.7499991               0
      72.000543      -41.995906             1.5               0        3.749999               0
      75.999659      -41.996861             1.5               0       3.7499989               0
      79.998989      -41.997666             1.5               0        3.749999               0
      83.998541      -41.998313             1.5               0        3.749999               0
      87.998299       -41.99881             1.5               0       3.7499992               0
      91.998232       -41.99918             1.5               0       3.7499993               0
      95.998298      -41.999448             1.5               0       3.7499993               0
      99.998453      -41.999636             1.5               0       3.7499995               0
      103.99866      -41.999766             1.5               0       3.7499996               0
      107.99888      -41.999853             1.5               0       3.7499997               0
       111.9991       -41.99991             1.5               0       3.7499998               0
      115.99929      -41.999947             1.5               0       3.7499998               0
      119.99946       -41.99997             1.5               0       3.7499999               0
       123.9996      -41.999983             1.5               0       3.7499999               0
      127.99971      -41.999991             1.5               0       3.7499999               0
       131.9998      -41.999996             1.5               0            3.75               0
      135.99986      -41.999998             1.5               0            3.75               0
       139.9999             -42             1.5               0            3.75               0
      143.99994             -42             1.5               0            3.75               0
      147.99996             -42             1.5               0            3.75               0
      151.99997             -42             1.5               0            3.75               0
      155.99998             -42             1.5               0            3.75               0
      159.99999             -42             1.5               0            3.75               0
      163.99999             -42             1.5               0            3.75               0
            168             -42             1.5               0            3.75               0
            172             -42             1.5               0            3.75               0
            176             -42             1.5               0            3.75               0
            180             -42             1.5               0            3.75               0
            184             -42             1.5               0            3.75               0
            188             -42             1.5               0            3.75               0
            192             -42             1.5               0            3.75               0
            196             -42             1.5               0            3.75               0
            200             -42             1.5               0           6.875               0
           -196             -38             1.5               0            3.75               0
           -200             -38             1.5               0           6.875               0
           -192             -38             1.5               0            3.75               0
           -188             -38             1.5               0            3.75               0
           -184             -38             1.5               0            3.75               0
           -180             -38             1.5               0            3.75               0
           -176             -38             1.5               0            3.75               0
           -172             -38             1.5               0            3.75               0
           -168             -38             1.5               0            3.75               0
     -163.99999             -38             1.5               0            3.75               0
     -159.99999             -38             1.5               0            3.75               0
     -155.99998      -38.000001             1.5               0            3.75               0
     -151.99997      -38.000001             1.5               0            3.75               0
     -147.99995      -38.000001             1.5               0            3.75               0
     -143.99992      -38.000001             1.5               0            3.75               0
     -139.99988             -38             1.5               0            3.75               0
     -135.99982      -37.999999             1.5               0            3.75               0
     -131.99973      -37.999997             1.5               0            3.75               0
     -127.99962      -37.999991             1.5               0       3.7499999               0
     -123.99947      -37.999981             1.5               0       3.7499999               0
     -119.99928      -37.999963             1.5               0       3.7499998               0
     -115.99905      -37.999933             1.5               0       3.7499998               0
     -111.99878      -37.999884             1.5               0       3.7499997               0
     -107.99847      -37.999807             1.5               0       3.7499996               0
     -103.99815      -37.999688             1.5               0       3.7499994               0
     -99.997841      -37.999509             1.5               0       3.7499993               0
     -95.997594      -37.999246             1.5               0       3.7499991               0
     -91.997461      -37.998867             1.5               0       3.7499989               0
     -87.997506      -37.998337             1.5               0       3.7499986               0
      -83.99779      -37.997613             1.5               0       3.7499984               0
     -79.998362      -37.996657             1.5               0       3.7499983               0
     -75.999244      -37.995438             1.5               0       3.7499982               0
     -72.000424      -37.993958             1.5               0       3.7499983               0
     -68.001854      -37.992267             1.5               0       3.7499985               0
     -64.003464      -37.990486             1.5               0       3.7499988               0
     -60.005178      -37.988816             1.5               0       3.7499992               0
     -56.006934      -37.987492             1.5               0       3.7499994               0
     -52.008653      -37.986736             1.5               0       3.7499997               0
     -48.010234      -37.986657             1.5               0            3.75               0
     -44.011551      -37.987223             1.5               0       3.7500002               0
     -40.012479      -37.988291             1.5               0       3.7500003               0
     -36.012917      -37.989674             1.5               0       3.7500003               0
     -32.012814      -37.991188             1.5               0       3.7500003               0
     -28.012188      -37.992689             1.5               0       3.7500003               0
      -24.01111      -37.994076             1.5               0       3.7500002               0
      -20.00968      -37.995285             1.5               0       3.7500002               0
     -16.007998      -37.996285             1.5               0       3.7500002               0
      -12.00615      -37.997065             1.5               0       3.7500001               0
     -8.0041899      -37.997622             1.5               0       3.7500001               0
     -4.0021413      -37.997959             1.5               0       3.7500001               0
 -1.4546692e-08      -37.998074             1.5               0       3.7500001               0
      4.0021413      -37.997959             1.5               0       3.7500001               0
      8.0041899      -37.997622             1.5               0       3.7500001               0
       12.00615      -37.997064             1.5               0       3.7500001               0
      16.007998      -37.996285             1.5               0       3.7500002               0
       20.00968      -37.995285             1.5               0       3.7500002               0
      24.011111      -37.994075             1.5               0       3.7500002               0
      28.012189      -37.992688             1.5               0       3.7500003               0
      32.012815      -37.991188             1.5               0       3.7500003               0
      36.012918      -37.989672             1.5               0       3.7500003               0
       40.01248       -37.98829             1.5               0       3.7500003               0
      44.011551      -37.987222             1.5               0       3.7500002               0
      48.010235      -37.986656             1.5               0            3.75               0
      52.008653      -37.986735             1.5               0       3.7499997               0
      56.006934      -37.987491             1.5               0       3.7499994               0
      60.005178      -37.988816             1.5               0       3.7499992               0
      64.003464      -37.990486             1.5               0       3.7499988               0
      68.001854      -37.992267             1.5               0       3.7499985               0
      72.000423      -37.993957             1.5               0       3.7499983               0
      75.999244      -37.995437             1.5               0       3.7499982               0
      79.998361      -37.996656             1.5               0       3.7499983               0
       83.99779      -37.997613             1.5               0       3.7499984               0
      87.997506      -37.998337             1.5               0       3.7499986               0
      91.997461      -37.998867             1.5               0       3.7499989               0
      95.997593      -37.999246             1.5               0       3.7499991               0
      99.997841      -37.999509             1.5               0       3.7499993               0
      103.99815      -37.999688             1.5               0       3.7499994               0
      107.99847      -37.999807             1.5               0       3.7499996               0
      111.99878      -37.999884             1.5               0       3.7499997               0
      115.99905      -37.999933             1.5               0       3.7499998               0
      119.99928      -37.999963             1.5               0       3.7499998               0
      123.99947      -37.999981             1.5               0       3.7499999               0
      127.99962      -37.999991             1.5               0       3.7499999               0
      131.99973      -37.999997             1.5               0            3.75               0
      135.99982      -37.999999             1.5               0            3.75               0
      139.99988             -38             1.5               0            3.75               0
      143.99992      -38.000001             1.5               0            3.75               0
      147.99995      -38.000001             1.5               0            3.75               0
      151.99997      -38.000001             1.5               0            3.75               0
      155.99998      -38.000001             1.5               0            3.75               0
      159.99999             -38             1.5               0            3.75               0
      163.99999             -38             1.5               0            3.75               0
            168             -38             1.5               0            3.75               0
            172             -38             1.5               0            3.75               0
            176             -38             1.5               0            3.75               0
            180             -38             1.5               0            3.75               0
            184             -38             1.5               0            3.75               0
            188             -38             1.5               0            3.75               0
            192             -38             1.5               0            3.75               0
            196             -38             1.5               0            3.75               0
            200             -38             1.5               0           6.875               0
           -196             -34             1.5               0            3.75               0
           -200             -34             1.5               0           6.875               0
           -192             -34             1.5               0            3.75               0
           -188             -34             1.5               0            3.75               0
           -184             -34             1.5               0            3.75               0
           -180             -34             1.5               0            3.75               0
           -176             -34             1.5               0            3.75               0
           -172             -34             1.5               0            3.75               0
     -167.99999             -34             1.5               0            3.75               0
     -163.99999             -34             1.5               0            3.75               0
     -159.99998      -34.000001             1.5               0            3.75               0
     -155.99997      -34.000001             1.5               0            3.75               0
     -151.99996      -34.000001             1.5               0            3.75               0
     -147.99993      -34.000002             1.5               0            3.75               0
     -143.99989      -34.000002             1.5               0            3.75               0
     -139.99983      -34.000003             1.5               0            3.75               0
     -135.99975      -34.000002             1.5               0            3.75               0
     -131.99964      -34.000001             1.5               0       3.7499999               0
     -127.99949      -33.999996             1.5               0       3.7499999               0
     -123.99929      -33.999986             1.5               0       3.7499999               0
     -119.99903      -33.999968             1.5               0       3.7499998               0
      -115.9987      -33.999936             1.5               0       3.7499997               0
     -111.99832      -33.999882             1.5               0       3.7499995               0
     -107.99787      -33.999794             1.5               0       3.7499994               0
      -103.9974      -33.999656             1.5               0       3.7499992               0
     -99.996941      -33.999445             1.5               0       3.7499989               0
     -95.996551       -33.99913             1.5               0       3.7499986               0
     -91.996309      -33.998668             1.5               0       3.7499982               0
     -87.996308      -33.998008             1.5               0       3.7499978               0
     -83.996641      -33.997086             1.5               0       3.7499975               0
     -79.997382      -33.995835             1.5               0       3.7499972               0
     -75.998569      -33.994192             1.5               0       3.7499971               0
      -72.00018      -33.992128             1.5               0       3.7499972               0
     -68.002132      -33.989683             1.5               0       3.7499976               0
      -64.00431      -33.987017             1.5               0        3.749998               0
     -60.006607      -33.984437             1.5               0       3.7499986               0
      -56.00896      -33.982349             1.5               0       3.7499992               0
     -52.011301      -33.981152             1.5               0       3.7499996               0
     -48.013516      -33.981038             1.5               0            3.75               0
     -44.015421      -33.981924             1.5               0       3.7500003               0
     -40.016816       -33.98355             1.5               0       3.7500005               0
      -36.01752      -33.985602             1.5               0       3.7500005               0
     -32.017444      -33.987796             1.5               0       3.7500005               0
     -28.016613      -33.989934             1.5               0       3.7500004               0
     -24.015138      -33.991879             1.5               0       3.7500004               0
     -20.013172      -33.993556             1.5               0       3.7500003               0
     -16.010866      -33.994933             1.5               0       3.7500002               0
     -12.008343      -33.996001             1.5               0       3.7500002               0
     -8.0056807      -33.996762             1.5               0       3.7500001               0
     -4.0029043      -33.997222             1.5               0       3.7500001               0
 -2.3713937e-08      -33.997378             1.5               0       3.7500001               0
      4.0029043      -33.997222             1.5               0       3.7500001               0
      8.0056807      -33.996762             1.5               0       3.7500001               0
      12.008343      -33.996001             1.5               0       3.7500002               0
      16.010866      -33.994933             1.5               0       3.7500002               0
      20.013172      -33.993556             1.5               0       3.7500003               0
      24.015139      -33.991878             1.5               0       3.7500004               0
      28.016614      -33.989933             1.5               0       3.7500004               0
      32.017445      -33.987795             1.5               0       3.7500005               0
      36.017523      -33.985598             1.5               0       3.7500005               0
      40.016817      -33.983548             1.5               0       3.7500005               0
      44.015421      -33.981923             1.5               0       3.7500003               0
      48.013517      -33.981037             1.5               0            3.75               0
      52.011301      -33.981152             1.5               0       3.7499996               0
       56.00896      -33.982349             1.5               0       3.7499992               0
